(aaaf);4;28.64159965515136;65.380615234375;92.76148986816406
(aadc);5;31.82399940490722;60.45965576171875;92.63440704345703
(aaaf);5;28.64159965515136;65.380615234375;92.88856506347656
(aadc);6;31.82399940490722;60.49017333984375;92.69794464111328
(aaaf);6;28.64159965515136;65.4111328125;92.88856506347656
(aadc);7;31.82399940490722;60.52069091796875;92.76148986816406
(aadc);8;31.82399940490722;60.52069091796875;92.76148986816406
(aaaf);7;28.64159965515136;65.4111328125;92.82502746582031
(aadc);9;31.88639831542968;60.55120849609375;92.63440704345703
(aaaf);8;28.64159965515136;65.441650390625;92.82502746582031
(aadc);10;31.82399940490722;60.58172607421875;92.76148986816406
(aaaf);9;28.70399856567382;65.47216796875;92.88856506347656
(aadc);11;31.82399940490722;60.58172607421875;92.76148986816406
(aaaf);10;28.64159965515136;65.49505615234375;92.69794464111328
(aadc);12;31.82399940490722;60.58172607421875;92.76148986816406
(aaaf);11;28.70399856567382;65.49505615234375;92.76148986816406
(aadc);13;31.82399940490722;60.61224365234375;92.76148986816406
(aaaf);12;28.64159965515136;65.49505615234375;92.76148986816406
(aadc);14;31.82399940490722;60.64276123046875;92.76148986816406
(aaaf);13;28.64159965515136;65.49505615234375;92.88856506347656
(aadc);15;31.82399940490722;60.67327880859375;92.69794464111328
(aaaf);14;28.70399856567382;65.49505615234375;92.82502746582031
(aadc);16;31.82399940490722;60.70379638671875;92.76148986816406
(aaaf);15;28.70399856567382;65.55609130859375;92.76148986816406
(aadc);17;31.76159858703613;60.70379638671875;92.76148986816406
(aaaf);16;28.70399856567382;65.55609130859375;92.82502746582031
(aadc);18;31.82399940490722;60.73431396484375;92.76148986816406
(aaaf);17;28.70399856567382;65.55609130859375;92.76148986816406
(aadc);19;31.82399940490722;60.7572021484375;92.76148986816406
(aaaf);18;28.70399856567382;65.58660888671875;92.82502746582031
(aadc);20;31.76159858703613;60.7266845703125;92.63440704345703
(aaaf);19;28.70399856567382;65.61712646484375;92.76148986816406
(aadc);21;31.82399940490722;60.8182373046875;92.76148986816406
(aaaf);20;28.70399856567382;65.61712646484375;92.76148986816406
(aadc);22;31.76159858703613;60.8487548828125;92.76148986816406
(aaaf);21;28.70399856567382;65.55609130859375;92.82502746582031
(aadc);23;31.76159858703613;60.8792724609375;92.88856506347656
(aaaf);22;28.70399856567382;65.49505615234375;92.82502746582031
(aadc);24;31.76159858703613;60.9403076171875;92.76148986816406
(aaaf);23;28.76639938354492;65.47216796875;92.82502746582031
(aadc);25;31.76159858703613;60.8792724609375;92.76148986816406
(aaaf);24;28.70399856567382;65.47216796875;92.82502746582031
(aadc);26;31.82399940490722;60.8487548828125;92.76148986816406
(aaaf);25;28.70399856567382;65.441650390625;92.82502746582031
(aadc);27;31.76159858703613;60.8182373046875;92.76148986816406
(aaaf);26;28.76639938354492;65.4111328125;92.82502746582031
(aadc);28;31.76159858703613;60.7266845703125;92.69794464111328
(aaaf);27;28.76639938354492;65.35009765625;92.88856506347656
(aadc);29;31.76159858703613;60.70379638671875;92.76148986816406
(aaaf);28;28.76639938354492;65.319580078125;92.82502746582031
(aadc);30;31.76159858703613;60.64276123046875;92.76148986816406
(aaaf);29;28.70399856567382;65.258544921875;92.88856506347656
(aadc);31;31.76159858703613;60.61224365234375;92.88856506347656
(aaaf);30;28.70399856567382;65.23565673828125;92.82502746582031
(aadc);32;31.76159858703613;60.58172607421875;92.69794464111328
(aaaf);31;28.76639938354492;65.14410400390625;92.88856506347656
(aadc);33;31.69919967651367;60.52069091796875;92.76148986816406
(aaaf);32;28.76639938354492;65.08306884765625;92.82502746582031
(aadc);34;31.76159858703613;60.52069091796875;92.76148986816406
(aaaf);33;28.76639938354492;65.05255126953125;92.88856506347656
(aadc);35;31.76159858703613;60.52069091796875;92.76148986816406
(aaaf);34;28.76639938354492;65.02203369140625;92.88856506347656
(aadc);36;31.76159858703613;60.52069091796875;92.76148986816406
(aaaf);35;28.76639938354492;65.02203369140625;92.88856506347656
(aadc);37;31.76159858703613;60.52069091796875;92.76148986816406
(aaaf);36;28.76639938354492;65.02203369140625;92.88856506347656
(aadc);38;31.76159858703613;60.52069091796875;92.76148986816406
(aaaf);37;28.76639938354492;65.02203369140625;92.82502746582031
(aadc);39;31.76159858703613;60.58172607421875;92.76148986816406
(aaaf);38;28.76639938354492;64.99151611328125;92.82502746582031
(aadc);40;31.69919967651367;60.58172607421875;92.76148986816406
(aaaf);39;28.76639938354492;64.99151611328125;92.88856506347656
(aadc);41;31.69919967651367;60.58172607421875;92.88856506347656
(aaaf);40;28.76639938354492;64.9381103515625;92.82502746582031
(aadc);42;31.69919967651367;60.58172607421875;92.76148986816406
(aaaf);41;28.82879829406738;64.9075927734375;92.88856506347656
(aadc);43;31.69919967651367;60.55120849609375;92.88856506347656
(aaaf);42;28.76639938354492;64.8465576171875;92.82502746582031
(aadc);44;31.69919967651367;60.52069091796875;92.69794464111328
(aaaf);43;28.76639938354492;64.7855224609375;92.76148986816406
(aadc);45;31.69919967651367;60.49017333984375;92.88856506347656
(aaaf);44;28.82879829406738;64.7855224609375;92.63440704345703
(aadc);46;31.69919967651367;60.49017333984375;92.69794464111328
(aaaf);45;28.76639938354492;64.7550048828125;92.76148986816406
(aadc);47;31.69919967651367;60.49017333984375;92.76148986816406
(aaaf);46;28.82879829406738;64.7244873046875;92.88856506347656
(aadc);48;31.69919967651367;60.49017333984375;92.76148986816406
(aaaf);47;28.76639938354492;64.70159912109375;92.69794464111328
(aadc);49;31.69919967651367;60.52069091796875;92.76148986816406
